trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
21,Gracie Abrams,185172,alt z,0.759,0.665,2.0,-6.338,1.0,0.0861,0.494,0.0,0.109,0.391,125.056,audio_features,5meVa5klVlJalupZTvv5XX,spotify:track:5meVa5klVlJalupZTvv5XX,https://api.spotify.com/v1/tracks/5meVa5klVlJalupZTvv5XX,https://api.spotify.com/v1/audio-analysis/5meVa5klVlJalupZTvv5XX,185173.0,4.0
A LOT,John K,181945,singer-songwriter pop,0.829,0.583,5.0,-8.586,1.0,0.0353,0.19,0.00103,0.127,0.765,110.974,audio_features,1cxPOIEirHd43X5qeGebUY,spotify:track:1cxPOIEirHd43X5qeGebUY,https://api.spotify.com/v1/tracks/1cxPOIEirHd43X5qeGebUY,https://api.spotify.com/v1/audio-analysis/1cxPOIEirHd43X5qeGebUY,148869.0,4.0
A LOT - Remix,John K,148868,singer-songwriter pop,0.829,0.583,5.0,-8.586,1.0,0.0353,0.19,0.00103,0.127,0.765,110.974,audio_features,1cxPOIEirHd43X5qeGebUY,spotify:track:1cxPOIEirHd43X5qeGebUY,https://api.spotify.com/v1/tracks/1cxPOIEirHd43X5qeGebUY,https://api.spotify.com/v1/audio-analysis/1cxPOIEirHd43X5qeGebUY,148869.0,4.0
A.S.A.G.,Ori Rose,187317,,0.739,0.625,8.0,-6.013,1.0,0.0382,0.0879,0.0,0.251,0.641,122.976,audio_features,1RKgTID6LoCDMvXxX70vyU,spotify:track:1RKgTID6LoCDMvXxX70vyU,https://api.spotify.com/v1/tracks/1RKgTID6LoCDMvXxX70vyU,https://api.spotify.com/v1/audio-analysis/1RKgTID6LoCDMvXxX70vyU,187317.0,4.0
All Love,FLETCHER,193599,alt z,0.665,0.488,4.0,-7.177,1.0,0.0981,0.272,0.000261,0.181,0.477,142.087,audio_features,7iv32XEy2HlM7PqQO4lp5f,spotify:track:7iv32XEy2HlM7PqQO4lp5f,https://api.spotify.com/v1/tracks/7iv32XEy2HlM7PqQO4lp5f,https://api.spotify.com/v1/audio-analysis/7iv32XEy2HlM7PqQO4lp5f,193600.0,4.0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,256026,hip hop,0.599,0.526,9.0,-7.812,0.0,0.0385,0.0408,0.00256,0.209,0.134,90.018,audio_features,6Ec5LeRzkisa5KJtwLfOoW,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/tracks/6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/audio-analysis/6Ec5LeRzkisa5KJtwLfOoW,256027.0,4.0
Avoiding,Vorsa,264463,lo-fi chill,0.698,0.508,11.0,-6.272,1.0,0.0454,0.708,0.00278,0.319,0.555,119.999,audio_features,54LFnRxLlnwV7R04CMZwjD,spotify:track:54LFnRxLlnwV7R04CMZwjD,https://api.spotify.com/v1/tracks/54LFnRxLlnwV7R04CMZwjD,https://api.spotify.com/v1/audio-analysis/54LFnRxLlnwV7R04CMZwjD,264464.0,4.0
Beautiful Girls,Sean Kingston,226903,dance pop,0.762,0.661,1.0,-6.075,0.0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373.0,4.0
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,160656,scandipop,0.717,0.671,0.0,-5.077,0.0,0.0337,0.0018,2.54e-06,0.0921,0.699,110.054,audio_features,6f5ExP43esnvdKPddwKXJH,spotify:track:6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/tracks/6f5ExP43esnvdKPddwKXJH,https://api.spotify.com/v1/audio-analysis/6f5ExP43esnvdKPddwKXJH,160657.0,4.0
Black Hole,Griff,200523,uk pop,0.878,0.64,0.0,-5.641,1.0,0.0591,0.142,0.0,0.0981,0.658,124.069,audio_features,6xw8ld1ztoCKifwTN6uGDq,spotify:track:6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/tracks/6xw8ld1ztoCKifwTN6uGDq,https://api.spotify.com/v1/audio-analysis/6xw8ld1ztoCKifwTN6uGDq,200524.0,4.0
Two Places at Once,Haley Joelle,401440,alt z,0.497,0.278,2.0,-9.959,1.0,0.0464,0.792,0.0,0.308,0.237,104.84,audio_features,7fzX3TDy4bKZTGGnXilgE4,spotify:track:7fzX3TDy4bKZTGGnXilgE4,https://api.spotify.com/v1/tracks/7fzX3TDy4bKZTGGnXilgE4,https://api.spotify.com/v1/audio-analysis/7fzX3TDy4bKZTGGnXilgE4,199395.0,5.0
Yellow Box,The Neighbourhood,182760,modern alternative rock,0.598,0.575,0.0,-11.6,0.0,0.0484,0.0776,0.798,0.0925,0.268,106.972,audio_features,6IBCA5bu9eIBOsaoO0MqJj,spotify:track:6IBCA5bu9eIBOsaoO0MqJj,https://api.spotify.com/v1/tracks/6IBCA5bu9eIBOsaoO0MqJj,https://api.spotify.com/v1/audio-analysis/6IBCA5bu9eIBOsaoO0MqJj,182760.0,4.0
avalanche,Christian French,199512,alt z,0.636,0.864,11.0,-3.919,1.0,0.0491,0.0314,0.0,0.102,0.892,160.009,audio_features,1RlmAzI27AlIpvoRN3u6Iy,spotify:track:1RlmAzI27AlIpvoRN3u6Iy,https://api.spotify.com/v1/tracks/1RlmAzI27AlIpvoRN3u6Iy,https://api.spotify.com/v1/audio-analysis/1RlmAzI27AlIpvoRN3u6Iy,199512.0,4.0
birthday cake,Dylan Conrique,410560,alt z,0.436,0.255,3.0,-8.623,1.0,0.0364,0.955,3.28e-05,0.106,0.15,113.265,audio_features,7dDrR6vMK1JAwZZ5MIWgme,spotify:track:7dDrR6vMK1JAwZZ5MIWgme,https://api.spotify.com/v1/tracks/7dDrR6vMK1JAwZZ5MIWgme,https://api.spotify.com/v1/audio-analysis/7dDrR6vMK1JAwZZ5MIWgme,205280.0,4.0
first night,elijah woods,179240,singer-songwriter pop,0.707,0.584,8.0,-7.061,1.0,0.0646,0.194,1.89e-05,0.278,0.727,94.918,audio_features,6vlQlnbj0PTsOclGMf3xnG,spotify:track:6vlQlnbj0PTsOclGMf3xnG,https://api.spotify.com/v1/tracks/6vlQlnbj0PTsOclGMf3xnG,https://api.spotify.com/v1/audio-analysis/6vlQlnbj0PTsOclGMf3xnG,179240.0,4.0
hate to be lame,Lizzy McAlpine,279532,alt z,0.522,0.251,10.0,-12.626,0.0,0.0603,0.871,0.000258,0.0769,0.303,137.366,audio_features,26MJjeJ0NSOQDKeZzrEFMl,spotify:track:26MJjeJ0NSOQDKeZzrEFMl,https://api.spotify.com/v1/tracks/26MJjeJ0NSOQDKeZzrEFMl,https://api.spotify.com/v1/audio-analysis/26MJjeJ0NSOQDKeZzrEFMl,156798.0,3.0
i still think of u,Promoting Sounds,10721,aesthetic rap,0.699,0.665,5.0,-9.676,1.0,0.0339,0.282,0.0,0.147,0.352,119.989,audio_features,0qJOO0qpBFmR1vXf4rMRuj,spotify:track:0qJOO0qpBFmR1vXf4rMRuj,https://api.spotify.com/v1/tracks/0qJOO0qpBFmR1vXf4rMRuj,https://api.spotify.com/v1/audio-analysis/0qJOO0qpBFmR1vXf4rMRuj,180000.0,4.0
lie,Nessa Barrett,214044,social media pop,0.648,0.501,2.0,-8.262,1.0,0.0399,0.319,8.13e-05,0.127,0.656,155.04,audio_features,2GQqCyDCD0Z7BL2otJkFRh,spotify:track:2GQqCyDCD0Z7BL2otJkFRh,https://api.spotify.com/v1/tracks/2GQqCyDCD0Z7BL2otJkFRh,https://api.spotify.com/v1/audio-analysis/2GQqCyDCD0Z7BL2otJkFRh,214044.0,4.0
moreofyou,ryan micah,136756,,0.58,0.566,2.0,-7.534,1.0,0.0999,0.475,0.00021,0.0792,0.709,180.053,audio_features,7eW59ZF8WRfsa0PTXo0xg8,spotify:track:7eW59ZF8WRfsa0PTXo0xg8,https://api.spotify.com/v1/tracks/7eW59ZF8WRfsa0PTXo0xg8,https://api.spotify.com/v1/audio-analysis/7eW59ZF8WRfsa0PTXo0xg8,136667.0,4.0
on life,sammy rash,132260,gen z singer-songwriter,0.753,0.345,1.0,-8.685,1.0,0.0876,0.55,0.0,0.197,0.695,90.004,audio_features,2p3bubd7FHs1XN4tiasCqJ,spotify:track:2p3bubd7FHs1XN4tiasCqJ,https://api.spotify.com/v1/tracks/2p3bubd7FHs1XN4tiasCqJ,https://api.spotify.com/v1/audio-analysis/2p3bubd7FHs1XN4tiasCqJ,132261.0,4.0
